trial,stimulus,chosen_action,correct_action,is_correct,accuracy
189,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9947089947089947
190,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9947368421052631
191,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9947643979057592
192,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9947916666666666
193,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9948186528497409
194,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9948453608247423
195,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9948717948717949
196,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9948979591836735
197,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9949238578680203
198,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9949494949494949
199,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9949748743718593
200,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.995
201,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9950248756218906
202,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.995049504950495
203,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9950738916256158
204,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.9950980392156863
205,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9951219512195122
206,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9951456310679612
207,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.9951690821256038
208,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.9951923076923077
