trial,stimulus,chosen_action,correct_action,is_correct,accuracy
28,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.39285714285714285
29,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.41379310344827586
30,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.43333333333333335
31,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.45161290322580644
32,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.46875
33,letter-B,chunk(id='no_action'),"feature(d='act#type', v='press_b', l=0)",False,0.45454545454545453
34,letter-C,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_c', l=0)",False,0.4411764705882353
35,letter-A,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_a', l=0)",True,0.45714285714285713
36,letter-C,chunk(id='no_action'),"feature(d='act#type', v='press_c', l=0)",False,0.4444444444444444
37,letter-B,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.43243243243243246
38,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.42105263157894735
39,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.4358974358974359
40,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.425
41,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.4146341463414634
42,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.42857142857142855
43,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.4418604651162791
44,letter-A,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_a', l=0)",False,0.4318181818181818
45,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.4222222222222222
46,letter-B,"feature(d='act#type', v='press_b', l=0)","feature(d='act#type', v='press_b', l=0)",True,0.43478260869565216
47,letter-B,"feature(d='act#type', v='press_a', l=0)","feature(d='act#type', v='press_b', l=0)",False,0.425531914893617
48,letter-A,chunk(id='no_action'),"feature(d='act#type', v='press_a', l=0)",False,0.4166666666666667
49,letter-C,"feature(d='act#type', v='press_c', l=0)","feature(d='act#type', v='press_c', l=0)",True,0.42857142857142855
